qualification_clean,n,percentage
B.A.,111,23.2
M.A.,56,11.7
B.Sc.,53,11.1
12th/Intermediate,45,9.4
B.Tech/B.E.,33,6.9
B.Com.,31,6.5
Not Specified,28,5.9
M.Sc.,14,2.9
LLB/Law,10,2.1
Science,9,1.9
Pcm,7,1.5
BCA/MCA,6,1.3
Arts,5,1
B.Ed.,5,1
Commerce,4,0.8
Graduation,4,0.8
Graduate,3,0.6
Art,2,0.4
Bds,2,0.4
Bpharm,2,0.4
Computerscience,2,0.4
Highersecondary,2,0.4
Hsc,2,0.4
M.Com.,2,0.4
Med,2,0.4
Mpc,2,0.4
Ph.D.,2,0.4
Post Graduation,2,0.4
Agriculture,1,0.2
Bcca,1,0.2
Betch Cse,1,0.2
Biosciences,1,0.2
Bvoc,1,0.2
Economicshons,1,0.2
Electronics,1,0.2
Etc,1,0.2
Highersecndary,1,0.2
History,1,0.2
Homescience,1,0.2
Hsc|Ssc,1,0.2
Hsslc,1,0.2
Intermidiate,1,0.2
Jfffh,1,0.2
Llm,1,0.2
Me,1,0.2
Medical,1,0.2
Nonmedical,1,0.2
Pcb,1,0.2
Pcmb,1,0.2
Pgpm,1,0.2
Physicshonours,1,0.2
Postgraduate,1,0.2
Postgraduation,1,0.2
Senior Secondary Certificate Examination,1,0.2
Seniorsecondary,1,0.2
Sociology,1,0.2
Srsecondary,1,0.2
Trhtrh,1,0.2
Undergraduate|Postgraduate,1,0.2
Xii,1,0.2
